5000,3,24,100,optimal=False
[2, -2, 2, 1, -1, 1, -1, 1, 1, 2, -2, -1, -1, -2, 1, -1, 2, 2, 1, -1, 1, -1, -2, -2]
[1, 1, -1, 2, 2, 2, -2, -2, -2, 1, -1, 2, -2, -1, 2, 1, -1, 2, -2, 2, -2, -2, 2, -2]
[1, 2, 1, 1, 2, 1, -2, -1, -1, -2, -1, 2, -2, -1, 1, -1, 1, 2, -2, -1, 1, -1, 1, -1]
[1, -1, 2, 2, -2, -2, 2, 1, -1, 2, -2, 1, -1, -2, 2, 2, -2, -2, 2, -2, 2, -2, 2, -2]
[2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, -2, 2, 1, -1, 1, -1, -2, 1, -1, 2, -2]
[2, -2, 2, -2, 1, 2, 1, -1, 1, -1, -2, 1, -1, 1, 2, -2, -1, 2, 2, -2, -2, 2, -2, -1]
[2, 2, -2, 2, -2, -2, 2, -2, 1, -1, 1, 2, -2, -1, 1, -1, 2, -2, 2, 2, -2, 1, -1, -2]
[2, 1, -1, -2, 2, -2, 2, 1, -1, 2, -2, -2, 1, 1, 2, -2, -1, -1, 1, -1, 1, 2, -2, -1]
[2, 2, -2, -2, 2, 1, -1, 1, -1, 2, -2, 1, -1, -2, 2, -2, 2, 1, -1, 1, 1, -1, -1, -2]
[2, 2, -2, -2, 2, 2, -2, -2, 1, -1, 2, -2, 1, -1, 2, 1, -1, 1, -1, 2, 1, -1, -2, -2]
[2, 2, -2, -2, 2, -2, 2, 1, -1, 1, -1, 1, -1, 2, 2, -2, -2, -2, 1, 1, -1, -1, 2, -2]
[2, 2, 1, -1, 2, 1, -1, -2, -2, 1, -1, 1, 2, -2, -1, 1, 1, -1, 1, -1, -1, -2, 1, -1]
[2, 1, -1, -2, 2, 1, 1, -1, 2, -2, -1, 2, -2, 1, 1, -1, 2, -2, 1, -1, -1, 1, -1, -2]
[1, 2, 2, -2, 2, -2, 1, -1, -2, 1, -1, 2, 1, -1, -2, -1, 2, -2, 2, -2, 1, 2, -2, -1]
[1, -1, 1, -1, 1, 1, -1, 2, -2, 1, 2, -2, -1, -1, 1, -1, 2, -2, 2, -2, 2, -2, 1, -1]
[2, -2, 2, -2, 2, 2, -2, 1, -1, 2, 2, -2, 1, -1, 2, -2, -2, 1, -1, 1, -1, 1, -1, -2]
[1, 1, -1, -1, 2, -2, 2, -2, 1, 2, -2, 2, 1, -1, -2, 2, -2, 1, -1, -1, 1, 2, -2, -1]
[2, -2, 1, 2, -2, 1, 2, -2, -1, 1, -1, 1, -1, 1, 2, -2, 1, -1, -1, 1, -1, 2, -2, -1]
[1, 2, 1, -2, -1, 2, 1, 2, -2, -1, -2, 2, -2, -2, 1, -1, 1, 2, 1, -2, -1, 1, -1, -2]
[2, 1, 2, -2, -1, 1, -1, -2, 2, -2, 2, -2, 2, 2, 2, -2, 1, -1, -2, 1, -1, 2, -2, -2]
[2, -2, 2, 2, -2, 1, -1, 2, 1, 2, -2, 2, -2, -1, 2, -2, -2, -2, 2, 2, 2, -2, -2, -2]
[1, 1, 1, -1, -1, 1, 2, -2, 2, -2, 2, -2, 1, -1, -1, 2, -2, -1, 1, -1, 1, -1, 1, -1]
[1, -1, 1, 2, -2, -1, 2, -2, 2, -2, 2, -2, 1, -1, 1, -1, 1, 2, -2, -1, 2, 1, -1, -2]
[2, 1, -1, 1, -1, 2, -2, 2, -2, 2, -2, 2, -2, -2, 2, 1, 1, -1, -1, 2, -2, -2, 1, -1]
[1, 2, -2, -1, 1, -1, 1, -1, 1, -1, 1, 2, -2, 2, -2, 1, -1, 2, -2, 1, -1, -1, 2, -2]
[1, 2, -2, 1, 1, 2, -2, -1, 1, 2, -2, 1, -1, 1, 1, -1, -1, -1, -1, 1, -1, -1, 2, -2]
[2, 2, 1, 2, -1, -1, -2, 2, -2, -1, 2, 1, -1, 2, -2, 1, -1, -2, 1, -1, 2, -2, 1, -1]
[2, -2, 2, -2, 1, 1, -1, -1, 2, 1, 1, -1, -1, -2, 2, 2, -2, 1, -1, 1, -1, -2, 2, -2]
[1, -1, 2, -2, 2, -2, 2, -2, 1, -1, 2, -2, 2, -2, 1, 1, -1, 2, -2, -1, 1, -1, 1, -1]
[2, 1, -1, -2, 2, -2, 1, -1, 2, -2, 1, 2, 1, -1, -2, 1, -1, 1, -1, 1, -1, -1, 1, -1]
[1, -1, 2, -2, 1, -1, 2, -2, 1, 1, 1, 1, -1, 1, 1, -1, -1, 2, -2, -1, -1, -1, 1, -1]
[2, -2, 2, 2, -2, 2, -2, -2, 2, -2, 1, 1, -1, 2, -2, 1, -1, 2, -2, 1, -1, -1, 1, -1]
[2, -2, 1, -1, 2, -2, 1, -1, 2, -2, 1, 1, -1, 1, -1, -1, 2, 2, -2, -2, 1, -1, 1, -1]
[2, 1, -1, 1, -1, 1, -1, 1, 1, 2, -2, -1, -1, 1, -1, 1, -1, 2, -2, 2, -2, -2, 1, -1]
[2, 1, -1, 1, 1, -1, 2, 1, -1, -2, 1, -1, -1, 2, -2, 1, 1, -1, -1, 2, -2, -2, 2, -2]
[1, -1, 1, -1, 1, -1, 2, 2, 2, -2, -2, 1, -1, 1, -1, -2, 1, -1, 2, -2, 1, -1, 2, -2]
[1, 1, 2, -2, -1, -1, 1, 2, -2, -1, 2, 1, -1, 1, 2, -2, 1, -1, 1, -1, -1, -2, 1, -1]
[1, -1, 1, 2, -2, -1, 1, -1, 1, -1, 2, -2, 2, 1, -1, -2, 1, -1, 1, -1, 1, -1, 1, -1]
[1, 2, -2, -1, 2, 1, -1, -2, 2, 2, -2, -2, 2, -2, 1, 1, 1, -1, 1, -1, 2, -2, -1, -1]
[2, -2, 2, -2, 1, -1, 2, -2, 1, 2, 2, -2, -2, 2, 1, 2, -2, -1, 2, -2, 1, -1, -2, -1]
[2, 1, 1, -1, -1, 1, -1, 1, -1, 1, -1, 2, 2, -2, -2, 1, -1, 2, -2, 2, -2, 2, -2, -2]
[1, -1, 1, -1, 2, 2, -2, 1, 2, -2, -1, 2, -2, -2, 2, 1, -1, 1, -1, 2, -2, 1, -1, -2]
[2, -2, 2, -2, 1, -1, 1, -1, 2, -2, 1, -1, 2, -2, 1, 1, -1, -1, 1, -1, 2, -2, 2, -2]
