50,3,8,50,optimal=True
[1, -1, 2, -2, 1, -1, 2, -2], 4
[2, -2, 2, -2, 2, -2, 1, -1], 4
[1, -1, 2, -2, 2, 1, -1, -2], 4
[2, 2, 1, -1, -2, -2, 1, -1], 4
[2, 2, -2, -2, 2, -2, 2, -2], 4
[2, 1, -1, -2, 2, -2, 2, -2], 4
[1, 1, -1, 1, -1, 1, -1, -1], 4
[1, -1, 1, 1, -1, -1, 1, -1], 4
[2, 1, -1, 2, 1, -1, -2, -2], 4
[1, 1, -1, -1, 2, -2, 2, -2], 4
[1, 2, 1, -1, -2, 1, -1, -1], 4
[2, -2, 1, -1, 1, 1, -1, -1], 4
[2, 1, -1, -2, 1, -1, 1, -1], 4
[2, 1, -1, 2, 1, -1, -2, -2], 4
[1, 1, 1, -1, -1, -1, 2, -2], 4
[1, -1, 2, -2, 2, -2, 1, -1], 4
[2, -2, 1, -1, 2, -2, 1, -1], 4
[1, 1, -1, -1, 2, -2, 2, -2], 4
[1, -1, 1, -1, 1, 2, -2, -1], 4
[1, 1, 2, -2, -1, -1, 1, -1], 4
[1, -1, 2, -2, 2, 2, -2, -2], 4
[1, -1, 1, -1, 1, -1, 1, -1], 4
[2, 2, -2, -2, 2, -2, 2, -2], 4
[2, -2, 1, 1, 1, -1, -1, -1], 4
[2, -2, 1, 1, -1, 2, -2, -1], 4
[2, 2, 2, -2, -2, -2, 2, -2], 4
[1, 1, 1, -1, -1, -1, 2, -2], 4
[1, -1, 2, -2, 2, -2, 1, -1], 4
[1, -1, 1, -1, 2, -2, 2, -2], 4
[2, -2, 1, 2, -2, -1, 1, -1], 4
[1, 1, -1, 2, -2, 1, -1, -1], 4
[2, -2, 2, 1, -1, -2, 1, -1], 4
[1, -1, 1, -1, 1, -1, 2, -2], 4
[2, -2, 1, 2, -2, -1, 1, -1], 4
[2, -2, 1, -1, 1, -1, 2, -2], 4
[1, 2, -2, 1, -1, -1, 1, -1], 4
[1, -1, 1, -1, 2, -2, 2, -2], 4
[2, 2, -2, -2, 1, 2, -2, -1], 4
[2, -2, 2, 1, -1, -2, 2, -2], 4
[1, 2, 1, -1, -2, 2, -2, -1], 4
[1, -1, 1, -1, 2, -2, 1, -1], 4
[2, 2, -2, 1, -1, 2, -2, -2], 4
[1, 2, 1, -1, -2, 2, -2, -1], 4
[2, 1, 2, -2, -1, 1, -1, -2], 4
[1, 2, 2, 2, -2, -2, -2, -1], 4
[1, 1, -1, -1, 2, -2, 1, -1], 4
[2, 1, -1, -2, 2, 2, -2, -2], 4
[1, -1, 1, 2, 1, -1, -2, -1], 4
[2, 2, -2, 2, -2, 2, -2, -2], 4
[2, -2, 1, -1, 2, -2, 2, -2], 4
